,units,n_back,dropout,vloss,sec_elaps
36,12,384,0.0,0.01837208680808544,32
38,12,12,0.1,0.017407575622200966,32
0,384,192,0.1,0.016823697835206985,46
1,12,24,0.1,0.016597261652350426,32
46,24,12,0.0,0.016459796577692032,31
23,768,120,0.0,0.01633610390126705,52
43,864,768,0.2,0.016289111226797104,233
86,768,12,0.1,0.016226239502429962,37
88,384,144,0.1,0.01612783782184124,35
45,240,72,0.1,0.01604507863521576,23
87,432,288,0.2,0.015991268679499626,57
33,672,384,0.0,0.015954121947288513,99
91,384,72,0.2,0.015926891937851906,47
30,528,144,0.2,0.01586342230439186,62
101,528,240,0.1,0.015835396945476532,60
76,384,12,0.2,0.015819964930415154,39
27,528,48,0.2,0.01581002213060856,49
44,24,672,0.1,0.015780512243509293,85
35,288,96,0.0,0.015664363279938698,45
72,144,12,0.1,0.015655582770705223,23
17,720,120,0.1,0.015642480924725533,49
49,864,192,0.0,0.015625381842255592,80
112,624,336,0.2,0.015568196773529053,83
16,96,48,0.0,0.01555298175662756,23
3,96,96,0.0,0.015534158796072006,19
18,336,288,0.1,0.01550943125039339,53
31,96,768,0.2,0.015497680753469467,61
71,432,864,0.2,0.015439442358911037,134
115,12,24,0.2,0.015404673293232918,55
9,24,24,0.0,0.015394046902656555,31
10,240,96,0.0,0.015346162021160126,36
121,384,72,0.1,0.015342428348958492,47
75,432,144,0.1,0.015324793756008148,54
22,864,336,0.1,0.015314673073589802,175
110,288,24,0.2,0.015312659554183483,31
5,384,24,0.2,0.015296260826289654,35
26,576,672,0.0,0.015291753225028515,261
102,144,432,0.2,0.015290160663425922,54
79,864,336,0.0,0.015278741717338562,175
111,192,720,0.2,0.015266802161931992,87
107,624,48,0.1,0.01524753775447607,55
84,576,240,0.0,0.015245656482875347,62
69,240,864,0.2,0.015243971720337868,149
118,192,120,0.0,0.01524363923817873,38
93,624,624,0.1,0.015232584439218044,201
81,336,72,0.0,0.01522920560091734,45
63,720,192,0.2,0.015220986679196358,94
116,144,72,0.0,0.015207602642476559,31
58,288,48,0.0,0.015201760455965996,33
21,288,864,0.0,0.015201270580291748,106
14,576,576,0.2,0.01519863586872816,120
123,12,120,0.2,0.015186057426035404,49
108,48,48,0.2,0.015169686637818813,23
2,12,864,0.2,0.01515028066933155,125
65,48,768,0.2,0.015136503614485264,77
57,672,96,0.1,0.015136320143938065,60
106,120,120,0.1,0.015123449265956879,50
11,12,120,0.1,0.015120555646717548,48
7,120,624,0.1,0.015102701261639595,85
80,720,48,0.1,0.01507391408085823,48
6,288,336,0.1,0.015073349699378014,55
97,384,384,0.2,0.015067871659994125,96
92,864,576,0.1,0.01505743246525526,269
62,144,144,0.1,0.015052540227770805,57
32,528,720,0.1,0.015042227692902088,273
37,336,672,0.0,0.015039863996207714,179
114,336,432,0.1,0.015035253949463367,131
56,528,864,0.1,0.015024696476757526,318
99,624,12,0.2,0.01501557882875204,40
60,864,48,0.2,0.014992676675319672,96
29,768,624,0.0,0.014990664087235928,246
124,120,24,0.2,0.014973973855376244,23
100,288,528,0.2,0.014968348667025566,105
104,192,624,0.0,0.014965024776756763,149
59,336,624,0.2,0.014947198331356049,129
103,72,864,0.2,0.0149457398802042,117
126,48,864,0.1,0.014929992146790028,84
55,336,576,0.0,0.01491620298475027,198
67,144,528,0.2,0.014903301373124123,95
51,288,72,0.2,0.014900144189596176,43
19,576,624,0.1,0.01489211618900299,127
95,576,432,0.2,0.014874076470732689,139
25,480,864,0.0,0.014851869083940983,289
50,192,624,0.1,0.014838358387351036,114
89,480,576,0.1,0.014831523410975933,259
127,720,24,0.1,0.014829684048891068,75
125,240,432,0.0,0.014822707511484623,88
120,240,144,0.2,0.01481397170573473,45
94,240,240,0.2,0.014811154454946518,39
105,720,528,0.1,0.014786077663302422,266
34,384,528,0.1,0.014782934449613094,197
15,768,72,0.2,0.014781849458813667,76
119,192,528,0.0,0.014781338162720203,69
41,144,240,0.0,0.014780277386307716,68
113,720,432,0.0,0.01477636769413948,171
74,96,240,0.0,0.01476559229195118,38
64,384,336,0.0,0.014749346300959587,167
47,672,528,0.2,0.014738534577190876,187
85,120,288,0.0,0.014735721983015537,35
28,720,720,0.0,0.014735463075339794,429
39,384,120,0.0,0.014726934023201466,46
78,720,240,0.1,0.014720659703016281,152
52,72,480,0.0,0.014718198217451572,42
90,864,720,0.0,0.01469939574599266,431
8,240,432,0.1,0.014695738442242146,148
13,120,864,0.0,0.014692855067551136,107
77,576,192,0.2,0.014684864319860935,79
96,480,240,0.1,0.014662557281553745,108
83,48,624,0.0,0.014657270163297653,66
42,528,288,0.2,0.014646057039499283,163
4,120,96,0.0,0.014645424671471119,29
40,72,672,0.2,0.01464453712105751,76
12,768,120,0.1,0.014628478325903416,77
73,192,528,0.1,0.01461577508598566,69
68,480,288,0.2,0.014612249098718166,150
53,240,288,0.0,0.01459619402885437,128
117,48,768,0.1,0.014580490067601204,76
82,72,240,0.2,0.01458045095205307,38
20,96,192,0.1,0.014578093774616718,46
54,624,528,0.2,0.014554241672158241,175
109,576,864,0.1,0.014518972486257553,324
24,384,336,0.1,0.014512700028717518,87
70,432,384,0.1,0.0145097142085433,167
122,384,384,0.1,0.014470553025603294,123
66,192,480,0.2,0.014416512101888657,116
98,48,384,0.2,0.01432475820183754,48
48,120,72,0.2,0.014319817535579205,33
61,288,288,0.1,0.014288286678493023,91
